"Название","Описание","Требования проекта","Требования к исполнителям","Заказчик","Куратор проекта","Контактная информация Заказчика"
"Модуль планирования расходных материалов","Каждая медицинская услуга, оказываемая учреждением, включает в себя определенный перечень расходных материалов. 
Эффективное планирование и оптимизация процесса закупки расходных материалов помогает снизить издержки и рационально использовать бюджет медицинских учреждений. 
Недостаток или избыток расходных материалов может негативно сказаться на качестве оказываемых медицинских услуг. 
Регулярное обновление и изменение ассортимента расходных материалов требует постоянного контроля и актуализации списков закупок. 
Поэтому модуль для упрощения и оптимизации процесса закупки необходимых расходных материалов в медицинских учреждениях поможет автоматизировать и упростить процесс составления списков необходимых материалов, анализировать данные о потребностях и прогнозировать объемы закупок на определенный период времени, повысить производительность медицинского персонала.
","Разработать концепцию работы модуля, интерфейсы, сценарии использования, базовый алгоритм.
Основные функции:
1. Анализ и прогнозирование потребностей:
   - анализ и прогнозирование потребностей в расходных материалах на основе данных о расходе за предыдущие периоды.
   - учитывание сезонных факторов и других временных изменений, которые могут повлиять на потребности в расходных материалах.
2. Планирование заказов:
   - генерация плана заказов на основе прогнозируемых потребностей.
   - учитывание минимальных и максимальных запасов, установленных для каждого типа расходных материалов.
3. Оптимизация заказов:
   - автоматический расчет оптимального количества заказа, чтобы избежать избыточных запасов и недостатка материалов.
4. Уведомления и отчетность:
   - уведомления о необходимости сделать заказ.
   - генерация отчетов о потребностях в расходных материалах, заказах и поставках.","Знание базовых основ построения веб-сервисов и проектирования веб-интерфейсов.
Знание необходимых инструментов для frontend и back-end разработки.
Знание базовых основ работы с MySQL.
Умение искать и обрабатывать информацию.","Компания ""Виста""","Блеканов И.С.","Лазебникова Полина, 89148700715, qqpln@mail.ru
"
"Личный кабинет пациента","Пациенты довольно часто обращаются в медицинское учреждение, чтобы узнать результаты анализов, получить справку, записаться к врачу. Персонал не успевает обрабатывать такой объем заявок, из-за чего возникают очереди. Модуль «Личный кабинет пациента» сможет решить эти проблемы, предоставив инструментарий для записи пациента на прием, просмотра частей своей ЭМК (электронной медицинской карты), выгрузки документов и т.д.ератора по требованию. Чтобы сократить нагрузку на оператора и время ответа необходимо создать чат-бота, помогающего пользователям отслеживать выполнение задач.
","Разработать концепцию работы личного кабинета пациента, спроектировать интуитивно понятые и удобные интерфейсы. Предусмотреть панель администрирования. 
Минимальный набор функций:
−	Запись на приём к специалисту (медицинскую услугу);
−	Загрузка частей ЭМК из медицинской системы или непосредственно пользователем;
−	Просмотр частей своей ЭМК пациентом и выгрузки;
−	Отображение всех предстоящих и прошедших записей на приёмы пациента с датами, специальностями и ФИО врача; 
−	Отмена пациентом предстоящего приёма.","Знание базовых основ построения веб-сервисов и проектирования веб-интерфейсов.
Знание необходимых инструментов для frontend и back-end разработки.
Знание базовых основ работы с MySQL.
Умение искать и обрабатывать информацию.","Компания ""Виста""","Блеканов И.С.","Лазебникова Полина, 89148700715, qqpln@mail.ru"
"Смарт-клиника","Работа главного врача связана с частым сбором информации по работе больницы. Чтобы сократить количество затрачиваемого на это времени, предлагается создать концепцию и реализовать веб-страницу “Рабочего стола” глав. врача.
“Рабочий стол” - это интерактивная страница, на которой удобно, наглядно и интуитивно понятно представлена нужная глав. врачу информация по работе больницы. В нее могут входить, как статистические данные, получаемые из Базы данных программы Виста-Мед, так и отзывы посетителей с различных сайтов.","1. Разработать концепцию работы “Рабочего стола” - предложить решение подбора важных показателей.
2. Создать удобный и интуитивно понятный интерфейс. В зависимости от данных необходимо предусмотреть их визуализацию в виде таблицы, графика, изображения и т.д.
3. Автоматизировать передачу выбранных данных из программы Виста-Мед и сторонних сайтов на “Рабочий стол”.
4. Сделать страницу Входа, чтобы у каждого главного врача был свой профиль с информацией только по их больнице.
5. Продумать дальнейшие перспективы развития продукта.","""Знание базовых основ построения веб-сервисов и проектирования веб-интерфейсов.
Знание необходимых инструментов для frontend и back-end разработки.
Знание базовых основ работы с MySQL.
Умение искать и обрабатывать информацию.""
","Компания ""Виста""","Блеканов И.С.","Лазебникова Полина, 89148700715, qqpln@mail.ru
"
"Детектирование аорты сердца на снимках КТ","Существуют сложные случаи сердечно-сосудистых заболеваний, которые связаны с сердечной аортой 
и могут диагностироваться только очень небольшим множеством кардиологов. Задача проекта заключается в разработке технологий MedTech, помогающим начинающим кардиологам в диагностировании данных заболеваний и принятии решения.","1. Разработать модель глубокого обучения для сегментирования сердечной аорты
2. Разработать веб-сервис (отдельный, либо на основе телеграм-бота), в который пользователь-кардиохирург может загрузить снимки с КТ аппарата и получить визуальное представление отдельных частей аорты с детектированием ее особенностей.","● Знание базовых основ построения веб-сервисов и проектирования веб-интерфейсов.
● Знание необходимых инструментов для frontend и back-end разработки.
● Базовое знание ML и DL, знакомство с стандартным стеком ML-инженера: scikit-learn, pytorch, numpy, 
pandas
● Умение искать и обрабатывать информацию.","Клиника высоких медицинских технологий им. Н.И. Пирогова СПбГУ","И.С. Блеканов, Коваленко Лев","И.С. Блеканов, Лев Коваленко, Ким Глеб"
"Геоинформационная система для точного земледелия","Для реализации цифрового двойника в умном растениеводстве необходим единый веб-сервис, позволяющий систематизировать агроэкологические геоданные, обеспечивать к ним удобный доступ для пользователей, а также обрабатывать геоданные для решения определенного круга задач точного земледелия.","""1. Разработать концепцию единого Веб-сервиса, включающего следующие обязательные функции: 
     а) хранение и отображение контуров полей (полигонов);
     б) хранение и удобный доступ к ортофото полей;
     в) хранение и удобное отображение истории севооборота, а также агроопераций;
     г) реализовать модуль аналитики погодных данных в привязке к задачам точного земледелия;
     д) хранить и удобно отображать историю и результаты наземных измерений (векторный формат - геоточки с атрибутами);
     е) реализовать модуль калькулятора растров (построение карт основных вегетационных индексов по ортофото).
2. Создать удобный и интуитивно понятный интерфейса для Агронома. В зависимости от данных необходимо предусмотреть их визуализацию в виде таблицы, графика, изображения и т.д. Стартовая страница должна отображать интерактивную карту полей.
3. Автоматизировать передачу данных с метеосайтов, а также сенсоров при их наличии.
4. Продумать дальнейшие перспективы развития продукта.""","●Знание базовых основ построения веб-сервисов и проектирования веб-интерфейсов.
●Знание необходимых инструментов для frontend и back-end разработки.
●Знание базовых основ работы с PostgreSQL и PostGIS
●Умение искать и обрабатывать информацию.","Агрофизический институт","И.С. Блеканов, Лев Коваленко","Митрофанов Евгений Павлович, +79817597773, mjeka@agrophys.ru,
● agromelio.ru
● smart.agromelio.ru"
"Создание полевого робота для агроскаутинга","Для проведения научно-исследовательских экспериментальных работ, а также для решения определенного круга задач точного земледелия необходимо создать полевого робота. Основные задачи робота - это дистанционный сбор и передача в ГИС-приложение агроэкологических геоданных. Сбор данных предполагается осуществлять с помощью почвенного датчика, а также оптических сенсоров.","1. Разработать пайплайн реализации робота в задаче агроскаутинга.
2. Смоделировать архитектуру робота со всеми его элементами (база, корпус, комплектующие и т.п.), рассчитать основные теоретические параметры механики (нагрузки, мощность двигателя и т.п.).
3. Создать интерфейс для загрузки задания роботу и контролем его выполнения в реальном времени.
4. Протестировать прототип на работоспособность 
5. Продумать дальнейшее развитие робота.
6. Описать подробное руководство пользование роботом.","● Умение моделировать
● Умение работы с датчиками(Sensor soil, 2D Lidar, RGBD camera, GPS)
● Базовые занания программирования на C++ 
● Знание работы передачи данных (LORA)
● Знание базовых основ работы в Linux и ROS (Robot Operating System),
● Умение искать и обрабатывать информацию.","Агрофизический институт","И.С. Блеканов","Митрофанов Евгений Павлович, mjeka@agrophys.ru, +79817597773
agromelio.ru"
"Сервис по анализу городской топологии","Сервис должен позволять устанавливать среднее число связей (связь – это пересечение улиц) в топологии города  для каждой улицы города со всеми остальными как в городе в целом, так и по отдельным районам.","Разработать веб-ориентированное приложение для исследования и анализа улично-дорожной сети города, позволяющее выявлять самоорганизующиеся городские пространства и пространства (районы), план (структура) которых задан(-а) регулярным (системным) проектом (self-organization vs top-down planning). Приложение должно позволять загружать и обрабатывать карту любого города (на примере, Санкт-Петербурга), представлять и визуализировать городскую топологию улиц в виде графа, вычислять параметры данной топологии.","- Знание Javascript/Typescript и т.п.
- Знание стандартов HTML/CSS
- Знание фреймворков React/Angular/Vue и т.п.
- Знание инструментов сборки фронтенд-проектов","Сервис по анализу городской топологии","Блеканов И.С., Севрюков С.Ю.","Крылатов А.Ю."
"Сервис по анализу городского общественного транспорта","Сервис должен позволять устанавливать среднее число связей (связь – это пересечение улиц) в сети общественного транспорта города для каждой улицы (с расположенными на ней остановочными пунктами) города со всеми остальными как в городе в целом, так и по отдельным районам.","Разработать веб-ориентированное приложение для исследования и анализа сети общественного транспорта города, позволяющее выявлять связные городские пространства и пространства (районы), план (структура) которых задан(-а) регулярным (системным) проектом (self-organization vs top-down planning). Приложение должно позволять загружать и обрабатывать карту любого города (на примере, Санкт-Петербурга), представлять и визуализировать топологию сети общественного транспорта в виде графа, вычислять параметры данной топологии.","- Знание Javascript/Typescript и т.п.
- Знание стандартов HTML/CSS
- Знание фреймворков React/Angular/Vue и т.п.
- Знание инструментов сборки фронтенд-проектов
- Знание основ анализа данных","Центр аналитики динамических процессов и систем СПбГУ","Блеканов И.С., Севрюков С.Ю.","Крылатов А.Ю."
"Сервис по анализу региональной транспортно-логистической системы","Сервис должен позволять устанавливать среднее число связей (связь – это пересечение улиц) в топологии транспортно-логистической сети региона для каждого объекта сети со всеми остальными как в регионе в целом, так и по отдельным районам.","Разработать веб-ориентированное приложение для исследования и анализа региональной транспортно-логистической системы, позволяющее выявлять самоорганизующиеся региональные пространства и пространства (районы), план (структура) которых задан(-а) регулярным (системным) проектом (self-organization vs top-down planning). Приложение должно позволять загружать и обрабатывать карту любого региона (на примере, Северо-Запада), представлять и визуализировать региональную транспортно-логистическую топологию объектов в виде графа, вычислять параметры данной топологии.","- Знание Javascript/Typescript и т.п.
- Знание стандартов HTML/CSS
- Знание фреймворков React/Angular/Vue и т.п.
- Знание инструментов сборки фронтенд-проектов
- знание основ анализа данных","Центр аналитики динамических процессов и систем СПбГУ","Блеканов И.С., Севрюков С.Ю.","Крылатов А.Ю."
"Сервис по прогнозированию фондовых индексов","Сервис должен позволять осуществлять прогнозирование динамики фондовых индексов путём анализа статистики значений финансовых показателей нарастающим итогом, постоянно обновляя свои прогнозы с учётом изменяющихся условий рынка и мировой экономики. ","Разработать веб-ориентированное приложение для исследования и анализа фондовых индексов, позволяющее выявлять горизонты прогнозирования трендов и находить прогнозные значения финансовых показателей. Приложение должно позволять загружать и обрабатывать накопленные данные по любому фондовому показателю (на примере, РТС и NASDAQ), представлять и визуализировать результаты прогнозов, вычислять параметры прогнозируемого процесса.","- Знание Javascript/Typescript и т.п.
- Знание стандартов HTML/CSS
- Знание фреймворков React/Angular/Vue и т.п.
- Знание инструментов сборки фронтенд-проектов
- Знание основ анализа данных
","Центр аналитики динамических процессов и систем СПбГУ","И.С. Блеканов, С.Ю. Севрюков","Крылатов А.Ю., Лежнина Е.А."
