,Название,Описание,Требования к исполнителям,Требования проекта,Заказчик,Куратор проекта,Контактная информация Заказчика,Тема проекта,Роли исполнителей,hard skills,Важность ролей
0,Сервис по анализу городской топологии,"Сервис должен позволять устанавливать среднее число связей (связь - это пересечение улиц) в топологии города  для каждой улицы города со всеми остальными как в городе в целом, так и по отдельным районам.","['Знание Javascript/Typescript и т.п.', 'Знание стандартов HTML/CSS', 'Знание фреймворков React/Angular/Vue и т.п.', 'Знание инструментов сборки фронтенд-проектов', 'OSM API', 'NetworkX, Pandas']",[],Центр аналитики динамических процессов и систем СПбГУ,Блеканов И.С.,,1. Разработка веб-сервисов,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. Testing  
5. DevOps","OSM API, NetworkX, Pandas","1. **Data Science**  
   Оценка: 5  
   Требуется глубокое понимание алгоритмов и статистических методов для анализа данных о связях между объектами. Это ключевая роль для обработки и визуализации сложных сетевых структур.
   
2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 3  
   Хотя дизайн интерфейса важен, проект фокусируется на технической стороне, где основное внимание уделяется анализу данных и разработке алгоритмов.

3. **Backend - разработка**  
   Оценка: 4  
   Необходимы навыки разработки серверной части для работы с данными и интеграции с пользовательским интерфейсом.

4. **Frontend - разработка**  
   Оценка: 4  
   Разработка пользовательского интерфейса важна, но не является критически значимой для основной задачи проекта.

5. **Тестировщик**  
   Оценка: 2  
   Тестирование важно, но его роль менее критична по сравнению с другими ролями, особенно учитывая техническую сложность проекта.

6. **devOps**  
   Оценка: 2  
   DevOps необходим для развертывания и поддержки инфраструктуры, но проект может быть запущен без него на начальном этапе."
1,Чат-бот первой линии поддержки,"С целью повышения доступности поддержки и сокращения затрат на работу сотрудников Службы технической поддержки УСИТ СПбГУ (СТП УСИТ), ставится задача разработки и обучения интеллектуального агента (далее бот) для различных каналов связи.
С целью обучения интеллектуального агента будут предоставлены данные и экспертиза сотрудников СТП УСИТ.","['Анализ данных, NLP, speech processing, разработка средств интеграции', 'плюсом будет понимание принципов работы команд технической поддержки, IP телефонии']",[],УСИТ СПбГУ,Блеканов И.С.,,2. Анализ текстов и поисковые движки,"1. Data Science  
2. NLP/Speech Processing  
3. Разработка средств интеграции  
4. Анализ данных  
5. Экспертиза в области технической поддержки","Анализ данных, NLP, speech processing, разработка средств интеграции","1. **Data Science** - 5  
   Оценка высокая, так как для реализации проекта требуется специалист с глубокими знаниями в области анализа данных, обработки естественного языка (NLP) и речи, что является ключевым аспектом для создания интеллектуального агента.
   
2. **Дизайн UX / UI и проектирование интерфейсов** - 2  
   Эта роль менее важна для данного проекта, поскольку основная цель – создание бота для автоматизации процессов службы поддержки, а не разработка удобного пользовательского интерфейса.

3. **Backend - разработка** - 4  
   Важность этой роли высока, но чуть ниже, чем у Data Science, так как backend необходим для интеграции всех компонентов системы, но его разработка может быть более стандартной по сравнению с уникальными задачами Data Science.

4. **Frontend - разработка** - 3  
   Меньшая значимость, чем backend, так как фронтенд нужен скорее для визуализации взаимодействия пользователя с ботом, а не для сложных интерфейсных решений.

5. **Тестировщик** - 3  
   Значимость тестирования также невысока, так как основной акцент сделан на разработку и обучение бота, а не на проверку конечного продукта.

6. **devOps** - 2  
   Роль devOps важна для развертывания и поддержания инфраструктуры, но она менее критична для первоначального этапа разработки бота."
2,Агрегатор мероприятий,"Разработка progressive web-app - агрегатора мероприятий с существующих площадок meetup.com, timepad, тематические telegram-каналы и др., с выдачей рекомендаций и удобной регистрацией на события","['Обеспечение автоматического сбора данных о мероприятиях с различных источников', 'Создание мощного механизма поиска, позволяющего пользователям находить мероприятия по различным критериям (локация, дата, тематика)', 'еализация системы рекомендаций, учитывающей предпочтения и историю участия пользователя в мероприятиях']",[],OpenDataScience Community,Блеканов И.С.,,1. Разработка веб-сервисов,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Testing","python, scrapy, django, celery, redis, postgresql, elasticsearch, machine learning, natural language processing","1. **Data Science** - 5  
   Оценка: 5  
   Данная роль критична для проекта, так как требуется анализ данных, построение моделей машинного обучения для рекомендаций и обработки больших объемов информации.
   
2. **Дизайн UX / UI и проектирование интерфейсов** - 4  
   Оценка: 4  
   Эта роль важна, но не является ключевой для реализации базовой функциональности приложения. Однако качественный дизайн повышает пользовательский опыт и может влиять на успех продукта.

3. **Backend - разработка** - 5  
   Оценка: 5  
   Важность этой роли высока, поскольку необходимо обеспечить надежную инфраструктуру для работы с данными, интеграциями с внешними источниками и системой рекомендаций.

4. **Frontend - разработка** - 4  
   Оценка: 4  
   Роль также важна, так как фронтенд отвечает за удобство взаимодействия пользователей с приложением, однако его реализация менее сложна по сравнению с бэкендом.

5. **Тестировщик** - 3  
   Оценка: 3  
   Хотя тестирование важно для любого проекта, его значимость ниже, чем у разработчиков, так как основная функциональность уже реализована разработчиками.

6. **devOps** - 2  
   Оценка: 2  
   DevOps играет вспомогательную роль, обеспечивая инфраструктуру и автоматизацию процессов, что важно для масштабирования, но не критично для начальной разработки."
3,Анализ данных онлайн курсов,"На основе данных материалов и действий учащихся онлайн-курсов выявить показатели, определяющие их эффективность. Эффективность курса состоит из двух компонент: качество образовательных материалов и коммерческий потенциал. Данные являются отчётами и логами образовательных платформ “Coursera” и “Открытое образование”.","['Обеспечение автоматического обновления данных для регулярного анализа', 'Разработка методики для определения качества образовательных материалов и коммерческого потенциала курсов', 'Разработка графических инструментов для визуализации результатов анализа']",[],"СПбГУ, ЦРЭОР",Блеканов И.С.,,5. Анализ табличных данных,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Designer (UX/UI)","python, pandas, matplotlib, seaborn, scikit-learn","1. **Data Science**  
   Оценка: 5  
   Эта роль критически важна для проекта, так как требуется работа с большими объемами данных, анализ и визуализация результатов.
   
2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 2  
   Хотя дизайн интерфейсов может быть полезен для представления результатов анализа, это не является основной задачей проекта.
   
3. **Backend - разработка**  
   Оценка: 3  
   Необходима для обработки и хранения данных, но не является ключевой для анализа и визуализации.
   
4. **Frontend - разработка**  
   Оценка: 4  
   Важна для создания удобного интерфейса пользователя, но не критична для анализа данных.
   
5. **Тестировщик**  
   Оценка: 1  
   Не является приоритетной ролью для данного проекта, так как основная цель – анализ данных, а не тестирование готового продукта.
   
6. **devOps**  
   Оценка: 1  
   Также не является приоритетом, так как проект сосредоточен на анализе данных, а не на инфраструктуре."
4,Аналитика данных электронного расписания,"Создание системы управления рабочими местами в помещении с использованием метки-токена на смартфоне и определением ее местоположения в помещении, оборудованном системой внутренней навигации.","['Разработка системы, обеспечивающей взаимодействие с меткой-токеном на смартфоне', 'Создание алгоритмов определения местоположения метки-токена в помещении с использованием внутренней навигации.', 'Гарантия эффективной интеграции разработанной системы с существующими технологическими решениями ']",[],ВТБ,Блеканов И.С.,,Разработка веб-сервисов,"1. Data Science  
2. Разработчик Backend  
3. Разработчик Frontend  
4. Тестировщик  
5. DevOps","Для выполнения этого проекта разработчикам потребуется знание следующих инструментов:

1. **JavaScript** (для взаимодействия с мобильными устройствами)
2. **HTML/CSS** (для создания интерфейса пользователя)
3. **API для работы с Bluetooth (например, Bluepy)** (для связи со смартфоном)
4. **Алгоритмы локализации** (для определения местоположения метки в помещении)
5. **Системы навигации внутри помещений (Indoor Location Systems)** (например, iBeacon, WiFi-based location)
6. **Интеграция с существующими системами** (если требуется)
7. **Git** (для контроля версий кода)
8. **Docker** (при необходимости контейнеризации)
9. **CI/CD инструменты** (например, Jenkins, GitLab CI)

Этот список может изменяться в зависимости от конкретных технологий и архитектуры, которые будут выбраны для реализации проекта.","1. **Data Science** - 3  
2. **Дизайн UX / UI и проектирование интерфейсов** - 4  
3. **Backend - разработка** - 4  
4. **Frontend - разработка** - 4  
5. **Тестировщик** - 3  
6. **devOps** - 2"
5,Видеоархив СПбГУ,"Корпоративный (не публичный) видеоархив СПбГУ: каталогизация, тегирование, поиск, управление доступом. Предлагается найти и настроить (адаптировать) одно из существующих решений класса Video CMS","['Разработка системы каталогизации для организации видеофайлов по категориям, темам и другим параметрам', 'Возможность добавления тегов для более точного и удобного поиска видеоматериалов', 'Интеграция мощной системы поиска для быстрого и эффективного поиска видеоматериалов по различным критериям, включая название, автора, теги и т.д']",[],"СПбГУ, УСИТ",Блеканов И.С.,,1. Разработка веб-сервисов,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Testing","Для выполнения задач данного проекта разработчикам потребуется следующий набор инструментов и технологий:

1. **Java** – для разработки системы каталогизации и интеграции с другими компонентами.
2. **CSS** – для стилизации интерфейса пользователя.
3. **NLP (Natural Language Processing)** – для работы с текстовыми данными и улучшения поиска по видеоматериалам.
4. **MySQL/PostgreSQL** – для хранения данных о видеофайлах и их метаданных.
5. **Apache Solr/Elasticsearch** – для реализации мощной системы поиска.
6. **RESTful API** – для взаимодействия между различными компонентами системы.
7. **JavaScript/React/Vue.js** – для создания фронтенда и пользовательского интерфейса.
8. **Docker** – для контейнеризации приложения и упрощения развертывания.
9. **Linux** – для настройки серверов и работы с системой.

Этот список может изменяться в зависимости от конкретных требований и выбранного решения для реализации проекта.","1. **Data Science**: 3  
   Оценка снижена из-за специфики задачи, требующей скорее структурирования данных и их обработки, чем глубокого анализа данных.
   
2. **Дизайн UX / UI и проектирование интерфейсов**: 4  
   Высокая важность этой роли обусловлена необходимостью создания удобного и интуитивно понятного интерфейса для пользователей видеоархива.

3. **Backend - разработка**: 5  
   Важность этой роли высока, так как требуется надежная и масштабируемая архитектура для управления видеоархивом.

4. **Frontend - разработка**: 4  
   Важность роли также высока, учитывая необходимость разработки удобного и функционального пользовательского интерфейса.

5. **Тестировщик**: 5  
   Необходимость тщательного тестирования всех компонентов системы перед запуском требует высокой квалификации данного специалиста.

6. **devOps**: 3  
   Меньшая оценка связана с тем, что проект не предполагает сложных инфраструктурных решений, но все же наличие этого специалиста важно для поддержания стабильности работы системы."
6,Инструмент для автоматизации разметки керна,"Разработать ПО  для детектирования особенностей и классификации слоев породы по 4 параметрам (тип породы, карбонатность, нефтенасыщенность, разрушенность) на фотографиях керна","['Разработка механизма для загрузки и обработки фотографий керна с выделением областей интереса (ROI)', 'Поддержка различных форматов изображений и возможность параллельной обработки нескольких фотографий', 'Использование методов компьютерного зрения и машинного обучения для определения ключевых признаков']",[],Газпром нефть,Блеканов И.С.,,3. Анализ изображений,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Testing","python, opencv, scikit-image, tensorflow/keras, pandas","1. **Data Science** - 5  
   Оценка: Высокая важность. Для реализации проекта требуется специалист с глубокими знаниями в области машинного обучения и компьютерного зрения, что соответствует роли Data Science.
   
2. **Дизайн UX / UI и проектирование интерфейсов** - 2  
   Оценка: Низкая важность. В данном проекте основное внимание уделяется разработке алгоритмов и обработке данных, а не внешнему виду интерфейсов.

3. **Backend - разработка** - 3  
   Оценка: Средняя важность. Backend необходим для интеграции и поддержки работы приложения, но его разработка менее критична, чем у Data Science.

4. **Frontend - разработка** - 2  
   Оценка: Низкая важность. Как и в случае с UX/UI, фронтенд важен, но не настолько, как бэкенд или Data Science.

5. **Тестировщик** - 4  
   Оценка: Средняя важность. Тестирование важно для любого проекта, но оно не требует специализированных знаний в области анализа данных или машинного обучения.

6. **devOps** - 3  
   Оценка: Средняя важность. DevOps важен для развертывания и поддержки проекта, но он также менее критичен, чем Data Science."
7,Сайт ЦИТИК,"Простой сайт с информацией о центре, выполненных и предстоящих работах, с инструментами коммуникации.","['Разработка привлекательного и интуитивно понятного дизайна сайта, соответствующего целям и стилю центра', 'Создание легкой в навигации структуры сайта для удобства пользователей']",[],"СПбГУ, УУ",Блеканов И.С.,,1. Разработка веб-сервисов,"2. Дизайн UX / UI и проектирование интерфейсов  
3. Backend - разработка  
4. Frontend - разработка  
5. Тестировщик","html, css, js",2. Дизайн UX / UI и проектирование интерфейсов  5/5
8,Сбор и анализ логов Windows,"С использованием встроенных средств ОС Windows и свободного ПО с открытым исходным кодом реализовать сбор и анализ системных журналов Windows для оперативного их анализа. Примеры аналитических срезов: частота использования, популярные приложения, популярные ошибки, активные пользователи.","['Разработка программного модуля или скрипта для сбора системных журналов Windows', 'Использование встроенных средств ОС и/или свободного ПО с открытым исходным кодом для минимизации влияния на системные ресурсы', 'Настройка сбора журналов с учетом необходимости учета различных событий, таких как запуск приложений, возникновение ошибок, вход и выход пользователей и другие']",[],"СПбГУ, УСИТ",Блеканов И.С.,,1. Разработка веб-сервисов,"1. Data Science  
2. Backend - разработка  
3. DevOps  
4. Testing (тестирование)  
5. Design (UX/UI)","powershell, python, json, xml, csv, logparser, eventlog, sysinternals, osquery","1. **Data Science** - 3  
2. **Дизайн UX / UI и проектирование интерфейсов** - 2  
3. **Backend - разработка** - 4  
4. **Frontend - разработка** - 2  
5. **Тестировщик** - 3  
6. **devOps** - 2"
9,Система управления занятостью рабочих мест с использованием интернета вещей и токенов,"Задача состоит в создании системы управления рабочими местами в помещении с
использованием метки-токена на смартфоне и определением ее местоположения в
помещении, оборудованном системой внутренней навигации.","['Интеграция метки-токена с системой внутренней навигации для обеспечения точного и надежного определения местоположения в реальном времени', 'Совместимость с различными моделями смартфонов и операционными системами', 'Внедрение системы бронирования рабочих мест с возможностью предварительного заказа и отмены брони']",[],ВТБ,Блеканов И.С.,,1. Разработка веб-сервисов,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Testing","Для выполнения этой задачи разработчикам потребуется знание следующих инструментов и технологий:

1. **API систем внутренней навигации** (например, indoorGML, iBeacon)
2. **Язык программирования** для создания мобильного приложения (например, Java, Kotlin для Android, Swift для iOS)
3. **Системы бронирования** (например, Booking.com API, Google Calendar API)
4. **Инструменты для работы с геолокацией** (например, Google Maps SDK, Core Location для iOS)
5. **База данных** для хранения информации о бронировании и местоположении (например, PostgreSQL, MongoDB)
6. **Веб-сервер** для развертывания серверной части приложения (например, Node.js, Django)
7. **Фреймворки для мобильных приложений** (например, React Native, Flutter)
8. **Система контроля версий** (например, Git)
9. **CI/CD инструменты** для автоматизации процесса деплоя (например, Jenkins, CircleCI)","1. **Data Science** - 3  
2. **Дизайн UX / UI и проектирование интерфейсов** - 4  
3. **Backend - разработка** - 4  
4. **Frontend - разработка** - 4  
5. **Тестировщик** - 3  
6. **devOps** - 2"
